,speaker,listener,dialogue,dialogue_sentiment,avg_sentiment
56,ABRAM,SAMPSON,"Do you bite your thumb at us, sir?",0.0,-0.07582222222222222
57,SAMPSON,ABRAM,Is the law of our side if I say ay?,0.0,0.18283333333333332
58,SAMPSON,GREGORY,Is the law of our side if I say ay?,0.0,-0.062037931034482754
59,GREGORY,SAMPSON,No.,0.0,-0.08799310344827586
60,GREGORY,SAMPSON,No.,0.0,-0.08799310344827586
61,SAMPSON,GREGORY,"No sir, I do not bite my thumb at you, sir; but I bite my thumb, sir.",-0.1531,-0.062037931034482754
62,SAMPSON,GREGORY,"No sir, I do not bite my thumb at you, sir; but I bite my thumb, sir.",-0.1531,-0.062037931034482754
63,GREGORY,SAMPSON,"Do you quarrel, sir?",0.0,-0.08799310344827586
64,GREGORY,ABRAM,"Do you quarrel, sir?",0.0,0.0
65,ABRAM,GREGORY,"Quarrel, sir? No, sir.",0.0,0.0
66,ABRAM,SAMPSON,"Quarrel, sir? No, sir.",0.0,-0.07582222222222222
67,SAMPSON,ABRAM,"But if you do, sir, I am for you. I serve as good a man as you.",0.5927,0.18283333333333332
68,SAMPSON,ABRAM,"But if you do, sir, I am for you. I serve as good a man as you.",0.5927,0.18283333333333332
69,ABRAM,SAMPSON,No better.,-0.3412,-0.07582222222222222
70,ABRAM,SAMPSON,No better.,-0.3412,-0.07582222222222222
71,SAMPSON,ABRAM,"Well, sir.",0.2732,0.18283333333333332
72,SAMPSON,GREGORY,"Well, sir.",0.2732,-0.062037931034482754
73,GREGORY,SAMPSON,Say better; here comes one of my master’s kinsmen.,0.4404,-0.08799310344827586
74,GREGORY,SAMPSON,Say better; here comes one of my master’s kinsmen.,0.4404,-0.08799310344827586
75,SAMPSON,GREGORY,"Yes, better, sir.",0.6808,-0.062037931034482754
76,SAMPSON,ABRAM,"Yes, better, sir.",0.6808,0.18283333333333332
77,ABRAM,SAMPSON,You lie.,0.0,-0.07582222222222222
78,ABRAM,SAMPSON,You lie.,0.0,-0.07582222222222222
79,SAMPSON,ABRAM,"Draw, if you be men. Gregory, remember thy washing blow.",0.0,0.18283333333333332
80,SAMPSON,BENVOLIO,"Draw, if you be men. Gregory, remember thy washing blow.",0.0,0.0
81,BENVOLIO,SAMPSON,"Part, fools! put up your swords, you know not what you do.",-0.5411,-0.5411
82,BENVOLIO,TYBALT,"Part, fools! put up your swords, you know not what you do.",-0.5411,0.28336666666666666
83,TYBALT,BENVOLIO,"What, art thou drawn among these heartless hinds? Turn thee Benvolio, look upon thy death.",-0.7964,-0.8342666666666667
84,TYBALT,BENVOLIO,"What, art thou drawn among these heartless hinds? Turn thee Benvolio, look upon thy death.",-0.7964,-0.8342666666666667
85,BENVOLIO,TYBALT,"I do but keep the peace, put up thy sword, Or manage it to part these men with me.",0.6956,0.28336666666666666
86,BENVOLIO,TYBALT,"I do but keep the peace, put up thy sword, Or manage it to part these men with me.",0.6956,0.28336666666666666
87,TYBALT,BENVOLIO,"What, drawn, and talk of peace? I hate the word As I hate hell, all Montagues, and thee: Have at thee, coward.",-0.91,-0.8342666666666667
88,TYBALT,FIRST CITIZEN,"What, drawn, and talk of peace? I hate the word As I hate hell, all Montagues, and thee: Have at thee, coward.",-0.91,-0.91
89,FIRST CITIZEN,TYBALT,"Clubs, bills and partisans! Strike! Beat them down! Down with the Capulets! Down with the Montagues!",-0.3956,-0.3956
90,FIRST CITIZEN,CAPULET,"Clubs, bills and partisans! Strike! Beat them down! Down with the Capulets! Down with the Montagues!",-0.3956,-0.3956
91,CAPULET,FIRST CITIZEN,"What noise is this? Give me my long sword, ho!",0.0,0.0
92,CAPULET,LADY CAPULET,"What noise is this? Give me my long sword, ho!",0.0,-0.08861578947368423
93,LADY CAPULET,CAPULET,"A crutch, a crutch! Why call you for a sword?",0.0,-0.16978947368421052
94,LADY CAPULET,CAPULET,"A crutch, a crutch! Why call you for a sword?",0.0,-0.16978947368421052
95,CAPULET,LADY CAPULET,"My sword, I say! Old Montague is come, And flourishes his blade in spite of me.",-0.5707,-0.08861578947368423
96,CAPULET,MONTAGUE,"My sword, I say! Old Montague is come, And flourishes his blade in spite of me.",-0.5707,-0.12726666666666667
97,MONTAGUE,CAPULET,"Thou villain Capulet! Hold me not, let me go.",-0.5983,0.2643
98,MONTAGUE,LADY MONTAGUE,"Thou villain Capulet! Hold me not, let me go.",-0.5983,-0.5983
99,LADY MONTAGUE,MONTAGUE,Thou shalt not stir one foot to seek a foe.,-0.4404,-0.4404
100,LADY MONTAGUE,PRINCE,Thou shalt not stir one foot to seek a foe.,-0.4404,-0.4404
101,PRINCE,LADY MONTAGUE,"Rebellious subjects, enemies to peace, Profaners of this neighbour-stained steel,— Will they not hear? What, ho! You men, you beasts, That quench the fire of your pernicious rage With purple fountains issuing from your veins, On pain of torture, from those bloody hands Throw your mistemper’d weapons to the ground And hear the sentence of your moved prince. Three civil brawls, bred of an airy word, By thee, old Capulet, and Montague, Have thrice disturb’d the quiet of our streets, And made Verona’s ancient citizens Cast by their grave beseeming ornaments, To wield old partisans, in hands as old, Canker’d with peace, to part your canker’d hate. If ever you disturb our streets again, Your lives shall pay the forfeit of the peace. For this time all the rest depart away: You, Capulet, shall go along with me, And Montague, come you this afternoon, To know our farther pleasure in this case, To old Free-town, our common judgement-place. Once more, on pain of death, all men depart.",-0.9778,-0.9778
102,PRINCE,MONTAGUE,"Rebellious subjects, enemies to peace, Profaners of this neighbour-stained steel,— Will they not hear? What, ho! You men, you beasts, That quench the fire of your pernicious rage With purple fountains issuing from your veins, On pain of torture, from those bloody hands Throw your mistemper’d weapons to the ground And hear the sentence of your moved prince. Three civil brawls, bred of an airy word, By thee, old Capulet, and Montague, Have thrice disturb’d the quiet of our streets, And made Verona’s ancient citizens Cast by their grave beseeming ornaments, To wield old partisans, in hands as old, Canker’d with peace, to part your canker’d hate. If ever you disturb our streets again, Your lives shall pay the forfeit of the peace. For this time all the rest depart away: You, Capulet, shall go along with me, And Montague, come you this afternoon, To know our farther pleasure in this case, To old Free-town, our common judgement-place. Once more, on pain of death, all men depart.",-0.9778,-0.28791428571428573
103,MONTAGUE,PRINCE,"Who set this ancient quarrel new abroach? Speak, nephew, were you by when it began?",0.0,-0.36645714285714287
104,MONTAGUE,BENVOLIO,"Who set this ancient quarrel new abroach? Speak, nephew, were you by when it began?",0.0,0.5270444444444444
105,BENVOLIO,MONTAGUE,"Here were the servants of your adversary And yours, close fighting ere I did approach. I drew to part them, in the instant came The fiery Tybalt, with his sword prepar’d, Which, as he breath’d defiance to my ears, He swung about his head, and cut the winds, Who nothing hurt withal, hiss’d him in scorn. While we were interchanging thrusts and blows Came more and more, and fought on part and part, Till the Prince came, who parted either part.",-0.852,0.05096666666666668
106,BENVOLIO,LADY MONTAGUE,"Here were the servants of your adversary And yours, close fighting ere I did approach. I drew to part them, in the instant came The fiery Tybalt, with his sword prepar’d, Which, as he breath’d defiance to my ears, He swung about his head, and cut the winds, Who nothing hurt withal, hiss’d him in scorn. While we were interchanging thrusts and blows Came more and more, and fought on part and part, Till the Prince came, who parted either part.",-0.852,0.010750000000000037
107,LADY MONTAGUE,BENVOLIO,"O where is Romeo, saw you him today? Right glad I am he was not at this fray.",0.4588,0.4588
108,LADY MONTAGUE,BENVOLIO,"O where is Romeo, saw you him today? Right glad I am he was not at this fray.",0.4588,0.4588
109,BENVOLIO,LADY MONTAGUE,"Madam, an hour before the worshipp’d sun Peer’d forth the golden window of the east, A troubled mind drave me to walk abroad, Where underneath the grove of sycamore That westward rooteth from this city side, So early walking did I see your son. Towards him I made, but he was ware of me, And stole into the covert of the wood. I, measuring his affections by my own, Which then most sought where most might not be found, Being one too many by my weary self, Pursu’d my humour, not pursuing his, And gladly shunn’d who gladly fled from me.",0.8735,0.010750000000000037
110,BENVOLIO,MONTAGUE,"Madam, an hour before the worshipp’d sun Peer’d forth the golden window of the east, A troubled mind drave me to walk abroad, Where underneath the grove of sycamore That westward rooteth from this city side, So early walking did I see your son. Towards him I made, but he was ware of me, And stole into the covert of the wood. I, measuring his affections by my own, Which then most sought where most might not be found, Being one too many by my weary self, Pursu’d my humour, not pursuing his, And gladly shunn’d who gladly fled from me.",0.8735,0.05096666666666668
111,MONTAGUE,BENVOLIO,"Many a morning hath he there been seen, With tears augmenting the fresh morning’s dew, Adding to clouds more clouds with his deep sighs; But all so soon as the all-cheering sun Should in the farthest east begin to draw The shady curtains from Aurora’s bed, Away from light steals home my heavy son, And private in his chamber pens himself, Shuts up his windows, locks fair daylight out And makes himself an artificial night. Black and portentous must this humour prove, Unless good counsel may the cause remove.",0.817,0.5270444444444444
112,MONTAGUE,BENVOLIO,"Many a morning hath he there been seen, With tears augmenting the fresh morning’s dew, Adding to clouds more clouds with his deep sighs; But all so soon as the all-cheering sun Should in the farthest east begin to draw The shady curtains from Aurora’s bed, Away from light steals home my heavy son, And private in his chamber pens himself, Shuts up his windows, locks fair daylight out And makes himself an artificial night. Black and portentous must this humour prove, Unless good counsel may the cause remove.",0.817,0.5270444444444444
113,BENVOLIO,MONTAGUE,"My noble uncle, do you know the cause?",0.4588,0.05096666666666668
114,BENVOLIO,MONTAGUE,"My noble uncle, do you know the cause?",0.4588,0.05096666666666668
115,MONTAGUE,BENVOLIO,I neither know it nor can learn of him.,0.0,0.5270444444444444
116,MONTAGUE,BENVOLIO,I neither know it nor can learn of him.,0.0,0.5270444444444444
117,BENVOLIO,MONTAGUE,Have you importun’d him by any means?,0.0,0.05096666666666668
118,BENVOLIO,MONTAGUE,Have you importun’d him by any means?,0.0,0.05096666666666668
119,MONTAGUE,BENVOLIO,"Both by myself and many other friends; But he, his own affections’ counsellor, Is to himself—I will not say how true— But to himself so secret and so close, So far from sounding and discovery, As is the bud bit with an envious worm Ere he can spread his sweet leaves to the air, Or dedicate his beauty to the sun. Could we but learn from whence his sorrows grow, We would as willingly give cure as know.",0.7351,0.5270444444444444
120,MONTAGUE,BENVOLIO,"Both by myself and many other friends; But he, his own affections’ counsellor, Is to himself—I will not say how true— But to himself so secret and so close, So far from sounding and discovery, As is the bud bit with an envious worm Ere he can spread his sweet leaves to the air, Or dedicate his beauty to the sun. Could we but learn from whence his sorrows grow, We would as willingly give cure as know.",0.7351,0.5270444444444444
121,BENVOLIO,MONTAGUE,"See, where he comes. So please you step aside; I’ll know his grievance or be much denied.",-0.4604,0.05096666666666668
122,BENVOLIO,MONTAGUE,"See, where he comes. So please you step aside; I’ll know his grievance or be much denied.",-0.4604,0.05096666666666668
123,MONTAGUE,BENVOLIO,"I would thou wert so happy by thy stay To hear true shrift. Come, madam, let’s away,",0.8196,0.5270444444444444
124,MONTAGUE,BENVOLIO,"I would thou wert so happy by thy stay To hear true shrift. Come, madam, let’s away,",0.8196,0.5270444444444444
125,BENVOLIO,MONTAGUE,"Good morrow, cousin.",0.4404,0.05096666666666668
126,BENVOLIO,ROMEO,"Good morrow, cousin.",0.4404,0.02226428571428571
127,ROMEO,BENVOLIO,Is the day so young?,0.0,0.08792142857142858
128,ROMEO,BENVOLIO,Is the day so young?,0.0,0.08792142857142858
129,BENVOLIO,ROMEO,But new struck nine.,-0.3612,0.02226428571428571
130,BENVOLIO,ROMEO,But new struck nine.,-0.3612,0.02226428571428571
131,ROMEO,BENVOLIO,"Ay me, sad hours seem long. Was that my father that went hence so fast?",-0.4767,0.08792142857142858
132,ROMEO,BENVOLIO,"Ay me, sad hours seem long. Was that my father that went hence so fast?",-0.4767,0.08792142857142858
133,BENVOLIO,ROMEO,It was. What sadness lengthens Romeo’s hours?,-0.4404,0.02226428571428571
134,BENVOLIO,ROMEO,It was. What sadness lengthens Romeo’s hours?,-0.4404,0.02226428571428571
135,ROMEO,BENVOLIO,"Not having that which, having, makes them short.",0.0,0.08792142857142858
136,ROMEO,BENVOLIO,"Not having that which, having, makes them short.",0.0,0.08792142857142858
137,BENVOLIO,ROMEO,In love?,0.6369,0.02226428571428571
138,BENVOLIO,ROMEO,In love?,0.6369,0.02226428571428571
139,ROMEO,BENVOLIO,Out.,0.0,0.08792142857142858
140,ROMEO,BENVOLIO,Out.,0.0,0.08792142857142858
141,BENVOLIO,ROMEO,Of love?,0.6369,0.02226428571428571
142,BENVOLIO,ROMEO,Of love?,0.6369,0.02226428571428571
143,ROMEO,BENVOLIO,Out of her favour where I am in love.,0.7964,0.08792142857142858
144,ROMEO,BENVOLIO,Out of her favour where I am in love.,0.7964,0.08792142857142858
145,BENVOLIO,ROMEO,"Alas that love so gentle in his view, Should be so tyrannous and rough in proof.",0.7809,0.02226428571428571
146,BENVOLIO,ROMEO,"Alas that love so gentle in his view, Should be so tyrannous and rough in proof.",0.7809,0.02226428571428571
147,ROMEO,BENVOLIO,"Alas that love, whose view is muffled still, Should, without eyes, see pathways to his will! Where shall we dine? O me! What fray was here? Yet tell me not, for I have heard it all. Here’s much to do with hate, but more with love: Why, then, O brawling love! O loving hate! O anything, of nothing first create! O heavy lightness! serious vanity! Misshapen chaos of well-seeming forms! Feather of lead, bright smoke, cold fire, sick health! Still-waking sleep, that is not what it is! This love feel I, that feel no love in this. Dost thou not laugh?",-0.4403,0.08792142857142858
148,ROMEO,BENVOLIO,"Alas that love, whose view is muffled still, Should, without eyes, see pathways to his will! Where shall we dine? O me! What fray was here? Yet tell me not, for I have heard it all. Here’s much to do with hate, but more with love: Why, then, O brawling love! O loving hate! O anything, of nothing first create! O heavy lightness! serious vanity! Misshapen chaos of well-seeming forms! Feather of lead, bright smoke, cold fire, sick health! Still-waking sleep, that is not what it is! This love feel I, that feel no love in this. Dost thou not laugh?",-0.4403,0.08792142857142858
149,BENVOLIO,ROMEO,"No coz, I rather weep.",-0.7096,0.02226428571428571
150,BENVOLIO,ROMEO,"No coz, I rather weep.",-0.7096,0.02226428571428571
151,ROMEO,BENVOLIO,"Good heart, at what?",0.7964,0.08792142857142858
152,ROMEO,BENVOLIO,"Good heart, at what?",0.7964,0.08792142857142858
153,BENVOLIO,ROMEO,At thy good heart’s oppression.,0.4404,0.02226428571428571
154,BENVOLIO,ROMEO,At thy good heart’s oppression.,0.4404,0.02226428571428571
155,ROMEO,BENVOLIO,"Why such is love’s transgression. Griefs of mine own lie heavy in my breast, Which thou wilt propagate to have it prest With more of thine. This love that thou hast shown Doth add more grief to too much of mine own. Love is a smoke made with the fume of sighs; Being purg’d, a fire sparkling in lovers’ eyes; Being vex’d, a sea nourish’d with lovers’ tears: What is it else? A madness most discreet, A choking gall, and a preserving sweet. Farewell, my coz.",0.0627,0.08792142857142858
156,ROMEO,BENVOLIO,"Why such is love’s transgression. Griefs of mine own lie heavy in my breast, Which thou wilt propagate to have it prest With more of thine. This love that thou hast shown Doth add more grief to too much of mine own. Love is a smoke made with the fume of sighs; Being purg’d, a fire sparkling in lovers’ eyes; Being vex’d, a sea nourish’d with lovers’ tears: What is it else? A madness most discreet, A choking gall, and a preserving sweet. Farewell, my coz.",0.0627,0.08792142857142858
157,BENVOLIO,ROMEO,"Soft! I will go along: And if you leave me so, you do me wrong.",-0.5562,0.02226428571428571
158,BENVOLIO,ROMEO,"Soft! I will go along: And if you leave me so, you do me wrong.",-0.5562,0.02226428571428571
159,ROMEO,BENVOLIO,"Tut! I have lost myself; I am not here. This is not Romeo, he’s some other where.",-0.3802,0.08792142857142858
160,ROMEO,BENVOLIO,"Tut! I have lost myself; I am not here. This is not Romeo, he’s some other where.",-0.3802,0.08792142857142858
161,BENVOLIO,ROMEO,Tell me in sadness who is that you love?,0.3182,0.02226428571428571
162,BENVOLIO,ROMEO,Tell me in sadness who is that you love?,0.3182,0.02226428571428571
163,ROMEO,BENVOLIO,"What, shall I groan and tell thee?",0.0,0.08792142857142858
164,ROMEO,BENVOLIO,"What, shall I groan and tell thee?",0.0,0.08792142857142858
165,BENVOLIO,ROMEO,"Groan! Why, no; but sadly tell me who.",-0.6114,0.02226428571428571
166,BENVOLIO,ROMEO,"Groan! Why, no; but sadly tell me who.",-0.6114,0.02226428571428571
167,ROMEO,BENVOLIO,"Bid a sick man in sadness make his will, A word ill urg’d to one that is so ill. In sadness, cousin, I do love a woman.",-0.8905,0.08792142857142858
168,ROMEO,BENVOLIO,"Bid a sick man in sadness make his will, A word ill urg’d to one that is so ill. In sadness, cousin, I do love a woman.",-0.8905,0.08792142857142858
169,BENVOLIO,ROMEO,I aim’d so near when I suppos’d you lov’d.,0.0,0.02226428571428571
170,BENVOLIO,ROMEO,I aim’d so near when I suppos’d you lov’d.,0.0,0.02226428571428571
171,ROMEO,BENVOLIO,"A right good markman, and she’s fair I love.",0.8555,0.08792142857142858
172,ROMEO,BENVOLIO,"A right good markman, and she’s fair I love.",0.8555,0.08792142857142858
173,BENVOLIO,ROMEO,"A right fair mark, fair coz, is soonest hit.",0.5574,0.02226428571428571
174,BENVOLIO,ROMEO,"A right fair mark, fair coz, is soonest hit.",0.5574,0.02226428571428571
175,ROMEO,BENVOLIO,"Well, in that hit you miss: she’ll not be hit With Cupid’s arrow, she hath Dian’s wit; And in strong proof of chastity well arm’d, From love’s weak childish bow she lives uncharm’d. She will not stay the siege of loving terms Nor bide th’encounter of assailing eyes, Nor ope her lap to saint-seducing gold: O she’s rich in beauty, only poor That when she dies, with beauty dies her store.",0.93,0.08792142857142858
176,ROMEO,BENVOLIO,"Well, in that hit you miss: she’ll not be hit With Cupid’s arrow, she hath Dian’s wit; And in strong proof of chastity well arm’d, From love’s weak childish bow she lives uncharm’d. She will not stay the siege of loving terms Nor bide th’encounter of assailing eyes, Nor ope her lap to saint-seducing gold: O she’s rich in beauty, only poor That when she dies, with beauty dies her store.",0.93,0.08792142857142858
177,BENVOLIO,ROMEO,Then she hath sworn that she will still live chaste?,0.0,0.02226428571428571
178,BENVOLIO,ROMEO,Then she hath sworn that she will still live chaste?,0.0,0.02226428571428571
179,ROMEO,BENVOLIO,"She hath, and in that sparing makes huge waste; For beauty starv’d with her severity, Cuts beauty off from all posterity. She is too fair, too wise; wisely too fair, To merit bliss by making me despair. She hath forsworn to love, and in that vow Do I live dead, that live to tell it now.",0.9612,0.08792142857142858
180,ROMEO,BENVOLIO,"She hath, and in that sparing makes huge waste; For beauty starv’d with her severity, Cuts beauty off from all posterity. She is too fair, too wise; wisely too fair, To merit bliss by making me despair. She hath forsworn to love, and in that vow Do I live dead, that live to tell it now.",0.9612,0.08792142857142858
181,BENVOLIO,ROMEO,"Be rul’d by me, forget to think of her.",-0.2263,0.02226428571428571
182,BENVOLIO,ROMEO,"Be rul’d by me, forget to think of her.",-0.2263,0.02226428571428571
183,ROMEO,BENVOLIO,O teach me how I should forget to think.,-0.2263,0.08792142857142858
184,ROMEO,BENVOLIO,O teach me how I should forget to think.,-0.2263,0.08792142857142858
185,BENVOLIO,ROMEO,By giving liberty unto thine eyes; Examine other beauties.,0.8481,0.02226428571428571
186,BENVOLIO,ROMEO,By giving liberty unto thine eyes; Examine other beauties.,0.8481,0.02226428571428571
187,ROMEO,BENVOLIO,"’Tis the way To call hers, exquisite, in question more. These happy masks that kiss fair ladies’ brows, Being black, puts us in mind they hide the fair; He that is strucken blind cannot forget The precious treasure of his eyesight lost. Show me a mistress that is passing fair, What doth her beauty serve but as a note Where I may read who pass’d that passing fair? Farewell, thou canst not teach me to forget.",0.7523,0.08792142857142858
188,ROMEO,BENVOLIO,"’Tis the way To call hers, exquisite, in question more. These happy masks that kiss fair ladies’ brows, Being black, puts us in mind they hide the fair; He that is strucken blind cannot forget The precious treasure of his eyesight lost. Show me a mistress that is passing fair, What doth her beauty serve but as a note Where I may read who pass’d that passing fair? Farewell, thou canst not teach me to forget.",0.7523,0.08792142857142858
189,BENVOLIO,ROMEO,"I’ll pay that doctrine, or else die in debt.",-0.7783,0.02226428571428571
190,BENVOLIO,CAPULET,"I’ll pay that doctrine, or else die in debt.",-0.7783,-0.7783
191,CAPULET,BENVOLIO,"But Montague is bound as well as I, In penalty alike; and ’tis not hard, I think, For men so old as we to keep the peace.",0.5919,0.5919
192,CAPULET,PARIS,"But Montague is bound as well as I, In penalty alike; and ’tis not hard, I think, For men so old as we to keep the peace.",0.5919,0.2894
193,PARIS,CAPULET,"Of honourable reckoning are you both, And pity ’tis you liv’d at odds so long. But now my lord, what say you to my suit?",0.1154,0.09202727272727272
194,PARIS,CAPULET,"Of honourable reckoning are you both, And pity ’tis you liv’d at odds so long. But now my lord, what say you to my suit?",0.1154,0.09202727272727272
195,CAPULET,PARIS,"But saying o’er what I have said before. My child is yet a stranger in the world, She hath not seen the change of fourteen years; Let two more summers wither in their pride Ere we may think her ripe to be a bride.",0.4767,0.2894
196,CAPULET,PARIS,"But saying o’er what I have said before. My child is yet a stranger in the world, She hath not seen the change of fourteen years; Let two more summers wither in their pride Ere we may think her ripe to be a bride.",0.4767,0.2894
197,PARIS,CAPULET,Younger than she are happy mothers made.,0.5719,0.09202727272727272
198,PARIS,CAPULET,Younger than she are happy mothers made.,0.5719,0.09202727272727272
